Departure Index (c),Travel segment (a),Day (b),Time of departure (2400),Arrival Time
1,4,Mon,1:12,2:24
2,4,Mon,4:00,5:12
3,4,Mon,4:12,5:24
4,4,Mon,4:24,5:36
5,4,Mon,4:36,5:48
6,4,Mon,4:48,6:00
7,4,Mon,5:00,6:12
8,4,Mon,5:12,6:24
9,4,Mon,5:24,6:36
10,4,Mon,5:36,6:48
11,4,Mon,5:48,7:00
12,4,Mon,6:00,7:12
13,4,Mon,6:12,7:24
14,4,Mon,6:24,7:36
15,4,Mon,6:36,7:48
16,4,Mon,6:48,8:00
17,4,Mon,7:00,8:12
18,4,Mon,7:12,8:24
19,4,Mon,7:24,8:36
20,4,Mon,7:36,8:48
21,4,Mon,7:48,9:00
22,4,Mon,8:00,9:12
23,4,Mon,8:12,9:24
24,4,Mon,8:24,9:36
25,4,Mon,8:36,9:48
26,4,Mon,8:48,10:00
27,4,Mon,9:00,10:12
28,4,Mon,9:12,10:24
29,4,Mon,9:24,10:36
30,4,Mon,9:36,10:48
31,4,Mon,9:48,11:00
32,4,Mon,10:00,11:12
33,4,Mon,10:12,11:24
34,4,Mon,10:24,11:36
35,4,Mon,10:36,11:48
36,4,Mon,10:48,12:00
37,4,Mon,11:00,12:12
38,4,Mon,11:12,12:24
39,4,Mon,11:24,12:36
40,4,Mon,11:36,12:48
41,4,Mon,11:48,13:00
42,4,Mon,12:00,13:12
43,4,Mon,12:12,13:24
44,4,Mon,12:24,13:36
45,4,Mon,12:36,13:48
46,4,Mon,12:48,14:00
47,4,Mon,13:00,14:12
48,4,Mon,13:12,14:24
49,4,Mon,13:24,14:36
50,4,Mon,13:36,14:48
51,4,Mon,13:48,15:00
52,4,Mon,14:00,15:12
53,4,Mon,14:12,15:24
54,4,Mon,14:24,15:36
55,4,Mon,14:36,15:48
56,4,Mon,14:48,16:00
57,4,Mon,15:00,16:12
58,4,Mon,15:12,16:24
59,4,Mon,15:24,16:36
60,4,Mon,15:36,16:48
61,4,Mon,15:48,17:00
62,4,Mon,16:00,17:12
63,4,Mon,16:12,17:24
64,4,Mon,16:24,17:36
65,4,Mon,16:36,17:48
66,4,Mon,16:48,18:00
67,4,Mon,17:00,18:12
68,4,Mon,17:12,18:24
69,4,Mon,17:24,18:36
70,4,Mon,17:36,18:48
71,4,Mon,17:48,19:00
72,4,Mon,18:00,19:12
73,4,Mon,18:12,19:24
74,4,Mon,18:24,19:36
75,4,Mon,18:36,19:48
76,4,Mon,18:48,20:00
77,4,Mon,19:00,20:12
78,4,Mon,19:15,20:27
79,4,Mon,19:30,20:42
80,4,Mon,19:45,20:57
81,4,Mon,20:00,21:12
82,4,Mon,20:15,21:27
83,4,Mon,20:30,21:42
84,4,Mon,20:45,21:57
85,4,Mon,21:00,22:12
86,4,Mon,21:15,22:27
87,4,Mon,21:30,22:42
88,4,Mon,21:45,22:57
89,4,Mon,22:00,23:12
90,4,Mon,22:15,23:27
91,4,Mon,22:30,23:42
92,4,Mon,22:45,23:57
93,4,Mon,23:00,0:12
94,4,Mon,23:15,0:27
95,4,Mon,23:30,0:42
96,4,Mon,23:45,0:57
97,4,Mon,0:00,1:12
1,3,Mon,4:24,5:36
2,3,Mon,4:36,5:48
3,3,Mon,4:48,6:00
4,3,Mon,5:00,6:12
5,3,Mon,5:12,6:24
6,3,Mon,5:24,6:36
7,3,Mon,5:36,6:48
8,3,Mon,5:48,7:00
9,3,Mon,6:00,7:12
10,3,Mon,6:12,7:24
11,3,Mon,6:24,7:36
12,3,Mon,6:36,7:48
13,3,Mon,6:48,8:00
14,3,Mon,7:00,8:12
15,3,Mon,7:12,8:24
16,3,Mon,7:24,8:36
17,3,Mon,7:36,8:48
18,3,Mon,7:48,9:00
19,3,Mon,8:00,9:12
20,3,Mon,8:12,9:24
21,3,Mon,8:24,9:36
22,3,Mon,8:36,9:48
23,3,Mon,8:48,10:00
24,3,Mon,9:00,10:12
25,3,Mon,9:12,10:24
26,3,Mon,9:24,10:36
27,3,Mon,9:36,10:48
28,3,Mon,9:48,11:00
29,3,Mon,10:00,11:12
30,3,Mon,10:12,11:24
31,3,Mon,10:24,11:36
32,3,Mon,10:36,11:48
33,3,Mon,10:48,12:00
34,3,Mon,11:00,12:12
35,3,Mon,11:12,12:24
36,3,Mon,11:24,12:36
37,3,Mon,11:36,12:48
38,3,Mon,11:48,13:00
39,3,Mon,12:00,13:12
40,3,Mon,12:12,13:24
41,3,Mon,12:24,13:36
42,3,Mon,12:36,13:48
43,3,Mon,12:48,14:00
44,3,Mon,13:00,14:12
45,3,Mon,13:12,14:24
46,3,Mon,13:24,14:36
47,3,Mon,13:36,14:48
48,3,Mon,13:48,15:00
49,3,Mon,14:00,15:12
50,3,Mon,14:12,15:24
51,3,Mon,14:24,15:36
52,3,Mon,14:36,15:48
53,3,Mon,14:48,16:00
54,3,Mon,15:00,16:12
55,3,Mon,15:12,16:24
56,3,Mon,15:24,16:36
57,3,Mon,15:36,16:48
58,3,Mon,15:48,17:00
59,3,Mon,16:00,17:12
60,3,Mon,16:12,17:24
61,3,Mon,16:24,17:36
62,3,Mon,16:36,17:48
63,3,Mon,16:48,18:00
64,3,Mon,17:00,18:12
65,3,Mon,17:12,18:24
66,3,Mon,17:24,18:36
67,3,Mon,17:36,18:48
68,3,Mon,17:48,19:00
69,3,Mon,18:00,19:12
70,3,Mon,18:12,19:24
71,3,Mon,18:24,19:36
72,3,Mon,18:36,19:48
73,3,Mon,18:48,20:00
74,3,Mon,19:00,20:12
75,3,Mon,19:15,20:27
76,3,Mon,19:30,20:42
77,3,Mon,19:45,20:57
78,3,Mon,20:00,21:12
79,3,Mon,20:15,21:27
80,3,Mon,20:30,21:42
81,3,Mon,20:45,21:57
82,3,Mon,21:00,22:12
83,3,Mon,21:15,22:27
84,3,Mon,21:30,22:42
85,3,Mon,21:45,22:57
86,3,Mon,22:00,23:12
87,3,Mon,22:15,23:27
88,3,Mon,22:30,23:42
89,3,Mon,22:45,23:57
90,3,Mon,23:00,0:12
91,3,Mon,23:15,0:27
92,3,Mon,23:30,0:42
93,3,Mon,23:45,0:57
94,3,Mon,0:00,1:12
95,3,Mon,0:15,1:27
96,3,Mon,0:30,1:42
97,3,Mon,0:45,1:57
