Departure Index (c),Travel segment (a),Day (b),Time of departure (2400),Arrival Time
1,2,Mon,4:00,5:13
2,2,Mon,4:12,5:25
3,2,Mon,4:24,5:37
4,2,Mon,4:36,5:49
5,2,Mon,4:48,6:01
6,2,Mon,5:00,6:13
7,2,Mon,5:12,6:25
8,2,Mon,5:24,6:37
9,2,Mon,5:36,6:49
10,2,Mon,5:48,7:01
11,2,Mon,6:00,7:13
12,2,Mon,6:12,7:25
13,2,Mon,6:24,7:37
14,2,Mon,6:36,7:49
15,2,Mon,6:48,8:01
16,2,Mon,7:00,8:13
17,2,Mon,7:12,8:25
18,2,Mon,7:20,8:33
19,2,Mon,7:24,8:37
20,2,Mon,7:35,8:48
21,2,Mon,7:36,8:49
22,2,Mon,7:48,9:01
23,2,Mon,7:50,9:03
24,2,Mon,8:00,9:13
25,2,Mon,8:05,9:18
26,2,Mon,8:12,9:25
27,2,Mon,8:20,9:33
28,2,Mon,8:24,9:37
29,2,Mon,8:36,9:49
30,2,Mon,8:48,10:01
31,2,Mon,9:00,10:13
32,2,Mon,9:12,10:25
33,2,Mon,9:24,10:37
34,2,Mon,9:36,10:49
35,2,Mon,9:48,11:01
36,2,Mon,10:00,11:13
37,2,Mon,10:12,11:25
38,2,Mon,10:24,11:37
39,2,Mon,10:36,11:49
40,2,Mon,10:48,12:01
41,2,Mon,11:00,12:13
42,2,Mon,11:12,12:25
43,2,Mon,11:24,12:37
44,2,Mon,11:36,12:49
45,2,Mon,11:48,13:01
46,2,Mon,12:00,13:13
47,2,Mon,12:12,13:25
48,2,Mon,12:24,13:37
49,2,Mon,12:36,13:49
50,2,Mon,12:48,14:01
51,2,Mon,13:00,14:13
52,2,Mon,13:12,14:25
53,2,Mon,13:24,14:37
54,2,Mon,13:36,14:49
55,2,Mon,13:48,15:01
56,2,Mon,14:00,15:13
57,2,Mon,14:12,15:25
58,2,Mon,14:24,15:37
59,2,Mon,14:36,15:49
60,2,Mon,14:48,16:01
61,2,Mon,15:00,16:13
62,2,Mon,15:12,16:25
63,2,Mon,15:20,16:33
64,2,Mon,15:24,16:37
65,2,Mon,15:32,16:45
66,2,Mon,15:36,16:49
67,2,Mon,15:44,16:57
68,2,Mon,15:48,17:01
69,2,Mon,15:56,17:09
70,2,Mon,16:00,17:13
