Departure Index (c),Travel segment (a),Day (b),Time of departure (2400),Arrival Time
1,8,Mon,4:00,5:12
2,8,Mon,4:12,5:24
3,8,Mon,4:24,5:36
4,8,Mon,4:36,5:48
5,8,Mon,4:48,6:00
6,8,Mon,5:00,6:12
7,8,Mon,5:12,6:24
8,8,Mon,5:24,6:36
9,8,Mon,5:36,6:48
10,8,Mon,5:48,7:00
11,8,Mon,6:00,7:12
12,8,Mon,6:12,7:24
13,8,Mon,6:24,7:36
14,8,Mon,6:30,7:42
15,8,Mon,6:36,7:48
16,8,Mon,6:42,7:54
17,8,Mon,6:48,8:00
18,8,Mon,6:54,8:06
19,8,Mon,7:00,8:12
20,8,Mon,7:06,8:18
21,8,Mon,7:12,8:24
22,8,Mon,7:18,8:30
23,8,Mon,7:24,8:36
24,8,Mon,7:30,8:42
25,8,Mon,7:36,8:48
26,8,Mon,7:42,8:54
27,8,Mon,7:48,9:00
28,8,Mon,7:54,9:06
29,8,Mon,8:00,9:12
30,8,Mon,8:06,9:18
31,8,Mon,8:12,9:24
32,8,Mon,8:18,9:30
33,8,Mon,8:24,9:36
34,8,Mon,8:30,9:42
35,8,Mon,8:36,9:48
36,8,Mon,8:42,9:54
37,8,Mon,8:48,10:00
38,8,Mon,8:54,10:06
39,8,Mon,9:00,10:12
40,8,Mon,9:06,10:18
41,8,Mon,9:12,10:24
42,8,Mon,9:18,10:30
43,8,Mon,9:24,10:36
44,8,Mon,9:36,10:48
45,8,Mon,9:48,11:00
46,8,Mon,10:00,11:12
47,8,Mon,10:12,11:24
48,8,Mon,10:24,11:36
49,8,Mon,10:36,11:48
50,8,Mon,10:48,12:00
51,8,Mon,11:00,12:12
52,8,Mon,11:12,12:24
53,8,Mon,11:24,12:36
54,8,Mon,11:36,12:48
55,8,Mon,11:48,13:00
56,8,Mon,12:00,13:12
57,8,Mon,12:12,13:24
58,8,Mon,12:24,13:36
59,8,Mon,12:36,13:48
60,8,Mon,12:48,14:00
61,8,Mon,13:00,14:12
62,8,Mon,13:12,14:24
63,8,Mon,13:24,14:36
64,8,Mon,13:36,14:48
65,8,Mon,13:48,15:00
66,8,Mon,14:00,15:12
67,8,Mon,14:12,15:24
68,8,Mon,14:24,15:36
69,8,Mon,14:36,15:48
70,8,Mon,14:48,16:00
71,8,Mon,15:00,16:12
72,8,Mon,15:12,16:24
73,8,Mon,15:24,16:36
74,8,Mon,15:36,16:48
75,8,Mon,15:48,17:00
76,8,Mon,16:00,17:12
77,8,Mon,16:12,17:24
78,8,Mon,16:24,17:36
79,8,Mon,16:30,17:42
80,8,Mon,16:36,17:48
81,8,Mon,16:45,17:57
82,8,Mon,16:48,18:00
83,8,Mon,17:00,18:12
84,8,Mon,17:00,18:12
85,8,Mon,17:12,18:24
86,8,Mon,17:15,18:27
87,8,Mon,17:24,18:36
88,8,Mon,17:30,18:42
89,8,Mon,17:36,18:48
90,8,Mon,17:48,19:00
91,8,Mon,18:00,19:12
92,8,Mon,18:12,19:24
93,8,Mon,18:24,19:36
94,8,Mon,18:36,19:48
95,8,Mon,18:48,20:00
96,8,Mon,19:00,20:12
97,8,Mon,19:12,20:24
98,8,Mon,19:24,20:36
99,8,Mon,19:36,20:48
100,8,Mon,19:48,21:00
101,8,Mon,20:00,21:12
102,8,Mon,20:12,21:24
103,8,Mon,20:24,21:36
104,8,Mon,20:36,21:48
105,8,Mon,20:48,22:00
106,8,Mon,21:00,22:12
107,8,Mon,21:12,22:24
108,8,Mon,21:24,22:36
109,8,Mon,21:36,22:48
110,8,Mon,21:48,23:00
111,8,Mon,22:00,23:12
112,8,Mon,22:12,23:24
113,8,Mon,22:24,23:36
114,8,Mon,22:36,23:48
115,8,Mon,22:48,0:00
116,8,Mon,23:00,0:12
117,8,Mon,23:12,0:24
118,8,Mon,23:24,0:36
119,8,Mon,23:36,0:48
120,8,Mon,23:48,1:00
121,8,Mon,0:00,1:12
1,7,Mon,4:00,5:12
2,7,Mon,4:12,5:24
3,7,Mon,4:24,5:36
4,7,Mon,4:36,5:48
5,7,Mon,4:48,6:00
6,7,Mon,5:00,6:12
7,7,Mon,5:12,6:24
8,7,Mon,5:24,6:36
9,7,Mon,5:36,6:48
10,7,Mon,5:48,7:00
11,7,Mon,6:00,7:12
12,7,Mon,6:12,7:24
13,7,Mon,6:24,7:36
14,7,Mon,6:36,7:48
15,7,Mon,6:48,8:00
16,7,Mon,7:00,8:12
17,7,Mon,7:12,8:24
18,7,Mon,7:24,8:36
19,7,Mon,7:30,8:42
20,7,Mon,7:36,8:48
21,7,Mon,7:45,8:57
22,7,Mon,7:48,9:00
23,7,Mon,8:00,9:12
24,7,Mon,8:00,9:12
25,7,Mon,8:12,9:24
26,7,Mon,8:15,9:27
27,7,Mon,8:24,9:36
28,7,Mon,8:30,9:42
29,7,Mon,8:36,9:48
30,7,Mon,8:48,10:00
31,7,Mon,9:00,10:12
32,7,Mon,9:12,10:24
33,7,Mon,9:24,10:36
34,7,Mon,9:36,10:48
35,7,Mon,9:48,11:00
36,7,Mon,10:00,11:12
37,7,Mon,10:12,11:24
38,7,Mon,10:24,11:36
39,7,Mon,10:36,11:48
40,7,Mon,10:48,12:00
41,7,Mon,11:00,12:12
42,7,Mon,11:12,12:24
43,7,Mon,11:24,12:36
44,7,Mon,11:36,12:48
45,7,Mon,11:48,13:00
46,7,Mon,12:00,13:12
47,7,Mon,12:12,13:24
48,7,Mon,12:24,13:36
49,7,Mon,12:36,13:48
50,7,Mon,12:48,14:00
51,7,Mon,13:00,14:12
52,7,Mon,13:12,14:24
53,7,Mon,13:24,14:36
54,7,Mon,13:36,14:48
55,7,Mon,13:48,15:00
56,7,Mon,14:00,15:12
57,7,Mon,14:12,15:24
58,7,Mon,14:24,15:36
59,7,Mon,14:36,15:48
60,7,Mon,14:48,16:00
61,7,Mon,15:00,16:12
62,7,Mon,15:12,16:24
63,7,Mon,15:24,16:36
64,7,Mon,15:30,16:42
65,7,Mon,15:36,16:48
66,7,Mon,15:42,16:54
67,7,Mon,15:48,17:00
68,7,Mon,15:54,17:06
69,7,Mon,16:00,17:12
