Departure Index (c),Travel segment (a),Day (b),Time of departure (2400),Arrival Time
1,9,Mon,4:00,5:13
2,9,Mon,4:12,5:25
3,9,Mon,4:24,5:37
4,9,Mon,4:36,5:49
5,9,Mon,4:48,6:01
6,9,Mon,5:00,6:13
7,9,Mon,5:12,6:25
8,9,Mon,5:24,6:37
9,9,Mon,5:36,6:49
10,9,Mon,5:48,7:01
11,9,Mon,6:00,7:13
12,9,Mon,6:12,7:25
13,9,Mon,6:14,7:27
14,9,Mon,6:24,7:37
15,9,Mon,6:26,7:39
16,9,Mon,6:36,7:49
17,9,Mon,6:38,7:51
18,9,Mon,6:48,8:01
19,9,Mon,6:50,8:03
20,9,Mon,7:00,8:13
21,9,Mon,7:02,8:15
22,9,Mon,7:12,8:25
23,9,Mon,7:14,8:27
24,9,Mon,7:24,8:37
25,9,Mon,7:26,8:39
26,9,Mon,7:36,8:49
27,9,Mon,7:38,8:51
28,9,Mon,7:48,9:01
29,9,Mon,7:50,9:03
30,9,Mon,8:00,9:13
31,9,Mon,8:02,9:15
32,9,Mon,8:12,9:25
33,9,Mon,8:14,9:27
34,9,Mon,8:24,9:37
35,9,Mon,8:26,9:39
36,9,Mon,8:36,9:49
37,9,Mon,8:38,9:51
38,9,Mon,8:48,10:01
39,9,Mon,8:50,10:03
40,9,Mon,9:00,10:13
41,9,Mon,9:02,10:15
42,9,Mon,9:12,10:25
43,9,Mon,9:24,10:37
44,9,Mon,9:36,10:49
45,9,Mon,9:48,11:01
46,9,Mon,10:00,11:13
47,9,Mon,10:12,11:25
48,9,Mon,10:24,11:37
49,9,Mon,10:36,11:49
50,9,Mon,10:48,12:01
51,9,Mon,11:00,12:13
52,9,Mon,11:12,12:25
53,9,Mon,11:24,12:37
54,9,Mon,11:36,12:49
55,9,Mon,11:48,13:01
56,9,Mon,12:00,13:13
57,9,Mon,12:12,13:25
58,9,Mon,12:24,13:37
59,9,Mon,12:36,13:49
60,9,Mon,12:48,14:01
61,9,Mon,13:00,14:13
62,9,Mon,13:12,14:25
63,9,Mon,13:24,14:37
64,9,Mon,13:36,14:49
65,9,Mon,13:48,15:01
66,9,Mon,14:00,15:13
67,9,Mon,14:12,15:25
68,9,Mon,14:24,15:37
69,9,Mon,14:36,15:49
70,9,Mon,14:48,16:01
71,9,Mon,15:00,16:13
72,9,Mon,15:12,16:25
73,9,Mon,15:24,16:37
74,9,Mon,15:36,16:49
75,9,Mon,15:48,17:01
76,9,Mon,16:00,17:13
77,9,Mon,16:12,17:25
78,9,Mon,16:24,17:37
79,9,Mon,16:30,17:43
80,9,Mon,16:36,17:49
81,9,Mon,16:45,17:58
82,9,Mon,16:48,18:01
83,9,Mon,17:00,18:13
84,9,Mon,17:00,18:13
85,9,Mon,17:12,18:25
86,9,Mon,17:15,18:28
87,9,Mon,17:24,18:37
88,9,Mon,17:30,18:43
89,9,Mon,17:36,18:49
90,9,Mon,17:48,19:01
91,9,Mon,18:00,19:13
92,9,Mon,18:12,19:25
93,9,Mon,18:24,19:37
94,9,Mon,18:36,19:49
95,9,Mon,18:48,20:01
96,9,Mon,19:00,20:13
97,9,Mon,19:15,20:28
98,9,Mon,19:30,20:43
99,9,Mon,19:45,20:58
100,9,Mon,20:00,21:13
101,9,Mon,20:15,21:28
102,9,Mon,20:30,21:43
103,9,Mon,20:45,21:58
104,9,Mon,21:00,22:13
105,9,Mon,21:15,22:28
106,9,Mon,21:30,22:43
107,9,Mon,21:45,22:58
108,9,Mon,22:00,23:13
109,9,Mon,22:15,23:28
110,9,Mon,22:30,23:43
111,9,Mon,22:45,23:58
