Departure Index (c),Time of departure (2400),Arrival Time,Rush
1,4:00,5:12,
2,4:12,5:24,
3,4:24,5:36,
4,4:36,5:48,
5,4:48,6:00,
6,5:00,6:12,
7,5:12,6:24,
8,5:24,6:36,
9,5:36,6:48,
10,5:48,7:00,
11,6:00,7:12,
12,6:12,7:24,
13,6:18,7:30,1
14,6:24,7:36,
15,6:36,7:48,
16,6:48,8:00,
17,7:00,8:12,
18,7:12,8:24,
19,7:18,8:30,1
20,7:24,8:36,
21,7:36,8:48,
22,7:48,9:00,
23,8:00,9:12,
24,8:12,9:24,
25,8:18,9:30,1
26,8:24,9:36,
27,8:36,9:48,
28,8:48,10:00,
29,9:00,10:12,
30,9:12,10:24,
31,9:24,10:36,
32,9:36,10:48,
33,9:48,11:00,
34,10:00,11:12,
35,10:12,11:24,
36,10:24,11:36,
37,10:36,11:48,
38,10:48,12:00,
39,11:00,12:12,
40,11:12,12:24,
41,11:24,12:36,
42,11:36,12:48,
43,11:48,13:00,
44,12:00,13:12,
45,12:12,13:24,
46,12:24,13:36,
47,12:36,13:48,
48,12:48,14:00,
49,13:00,14:12,
50,13:12,14:24,
51,13:24,14:36,
52,13:36,14:48,
53,13:48,15:00,
54,14:00,15:12,
55,14:12,15:24,
56,14:24,15:36,
57,14:36,15:48,
58,14:48,16:00,
59,15:00,16:12,
60,15:12,16:24,
61,15:24,16:36,
62,15:36,16:48,
63,15:48,17:00,
64,16:00,17:12,
65,16:12,17:24,
66,16:24,17:36,
67,16:36,17:48,
68,16:48,18:00,
69,17:00,18:12,
70,17:12,18:24,
71,17:24,18:36,
72,17:36,18:48,
73,17:48,19:00,
74,18:00,19:12,
75,18:12,19:24,
76,18:24,19:36,
77,18:36,19:48,
78,18:48,20:00,
79,19:00,20:12,
80,19:15,20:27,
81,19:30,20:42,
82,19:45,20:57,
83,20:00,21:12,
84,20:15,21:27,
85,20:30,21:42,
86,20:45,21:57,
87,21:00,22:12,
88,21:15,22:27,
89,21:30,22:42,
90,21:45,22:57,
91,22:00,23:12,
92,22:15,23:27,
93,22:30,23:42,
94,22:45,23:57,
95,23:00,0:12,
96,23:15,0:27,
97,23:30,0:42,
98,23:45,0:57,
99,0:00,1:12,
