Travel Segment (a),Departure Index (c),Time of Departure (alpha),Time of Arrival (beta),Rush
1,1,240,313,
1,2,252,325,
1,3,264,337,
1,4,276,349,
1,5,288,361,
1,6,300,373,
1,7,312,385,
1,8,324,397,
1,9,336,409,
1,10,348,421,
1,11,360,433,
1,12,372,445,
1,13,377,450,1
1,14,384,457,
1,15,396,469,
1,16,408,481,
1,17,420,493,
1,18,432,505,
1,19,437,510,1
1,20,444,517,
1,21,456,529,
1,22,468,541,
1,23,480,553,
1,24,492,565,
1,25,497,570,1
1,26,504,577,
1,27,516,589,
1,28,528,601,
1,29,540,613,
1,30,552,625,
1,31,564,637,
1,32,576,649,
1,33,588,661,
1,34,600,673,
1,35,612,685,
1,36,624,697,
1,37,636,709,
1,38,648,721,
1,39,660,733,
1,40,672,745,
1,41,684,757,
1,42,696,769,
1,43,708,781,
1,44,720,793,
1,45,732,805,
1,46,744,817,
1,47,756,829,
1,48,768,841,
1,49,780,853,
1,50,792,865,
1,51,804,877,
1,52,816,889,
1,53,828,901,
1,54,840,913,
1,55,852,925,
1,56,864,937,
1,57,876,949,
1,58,888,961,
1,59,900,973,
1,60,912,985,
1,61,924,997,
1,62,936,1009,
1,63,948,1021,
1,64,960,1033,
1,65,972,1045,
1,66,984,1057,
1,67,996,1069,
1,68,1008,1081,
1,69,1020,1093,
1,70,1032,1105,
1,71,1044,1117,
1,72,1056,1129,
1,73,1068,1141,
1,74,1080,1153,
1,75,1092,1165,
1,76,1104,1177,
1,77,1116,1189,
1,78,1128,1201,
2,1,240,313,
2,2,252,325,
2,3,264,337,
2,4,276,349,
2,5,288,361,
2,6,300,373,
2,7,312,385,
2,8,324,397,
2,9,336,409,
2,10,348,421,
2,11,360,433,
2,12,372,445,
2,13,384,457,
2,14,396,469,
2,15,408,481,
2,16,420,493,
2,17,432,505,
2,18,444,517,
2,19,456,529,
2,20,468,541,
2,21,480,553,
2,22,492,565,
2,23,504,577,
2,24,516,589,
2,25,528,601,
2,26,540,613,
2,27,552,625,
2,28,564,637,
2,29,576,649,
2,30,588,661,
2,31,600,673,
2,32,612,685,
2,33,624,697,
2,34,636,709,
2,35,648,721,
2,36,660,733,
2,37,672,745,
2,38,684,757,
2,39,696,769,
2,40,708,781,
2,41,720,793,
2,42,732,805,
2,43,744,817,
2,44,756,829,
2,45,768,841,
2,46,780,853,
2,47,792,865,
2,48,804,877,
2,49,816,889,
2,50,828,901,
2,51,840,913,
2,52,852,925,
2,53,864,937,
2,54,876,949,
2,55,888,961,
2,56,900,973,
2,57,912,985,
2,58,917,990,1
2,59,924,997,
2,60,936,1009,
2,61,948,1021,
2,62,960,1033,
2,63,972,1045,
2,64,977,1050,1
2,65,984,1057,
2,66,996,1069,
2,67,1008,1081,
2,68,1020,1093,
2,69,1032,1105,
2,70,1037,1110,1
2,71,1044,1117,
2,72,1056,1129,
2,73,1068,1141,
2,74,1080,1153,
2,75,1092,1165,
2,76,1104,1177,
2,77,1116,1189,
2,78,1128,1201,
3,1,240,312,
3,2,252,324,
3,3,264,336,
3,4,276,348,
3,5,288,360,
3,6,300,372,
3,7,312,384,
3,8,324,396,
3,9,336,408,
3,10,348,420,
3,11,360,432,
3,12,372,444,
3,13,384,456,
3,14,396,468,
3,15,408,480,
3,16,420,492,
3,17,432,504,
3,18,444,516,
3,19,456,528,
3,20,468,540,
3,21,480,552,
3,22,492,564,
3,23,504,576,
3,24,516,588,
3,25,528,600,
3,26,540,612,
3,27,552,624,
3,28,564,636,
3,29,576,648,
3,30,588,660,
3,31,600,672,
3,32,612,684,
3,33,624,696,
3,34,636,708,
3,35,648,720,
3,36,660,732,
3,37,672,744,
3,38,684,756,
3,39,696,768,
3,40,708,780,
3,41,720,792,
3,42,732,804,
3,43,744,816,
3,44,756,828,
3,45,768,840,
3,46,780,852,
3,47,792,864,
3,48,804,876,
3,49,816,888,
3,50,828,900,
3,51,840,912,
3,52,852,924,
3,53,864,936,
3,54,876,948,
3,55,888,960,
3,56,900,972,
3,57,912,984,
3,58,924,996,
3,59,936,1008,
3,60,948,1020,
3,61,960,1032,
3,62,972,1044,
3,63,984,1056,
3,64,996,1068,
3,65,1008,1080,
3,66,1020,1092,
3,67,1032,1104,
3,68,1044,1116,
3,69,1056,1128,
3,70,1068,1140,
3,71,1080,1152,
3,72,1092,1164,
3,73,1104,1176,
3,74,1116,1188,
3,75,1128,1200,
3,76,1140,1212,
3,77,1155,1227,
3,78,1170,1242,
3,79,1185,1257,
3,80,1200,1272,
3,81,1215,1287,
3,82,1230,1302,
3,83,1245,1317,
3,84,1260,1332,
3,85,1275,1347,
3,86,1290,1362,
3,87,1305,1377,
3,88,1320,1392,
3,89,1335,1407,
3,90,1350,1422,
3,91,1365,1437,
3,92,1380,1452,
3,93,1395,1467,
3,94,1410,1482,
3,95,1425,1497,
3,96,1440,1512,
4,1,240,312,
4,2,252,324,
4,3,264,336,
4,4,276,348,
4,5,288,360,
4,6,300,372,
4,7,312,384,
4,8,324,396,
4,9,336,408,
4,10,348,420,
4,11,360,432,
4,12,372,444,
4,13,384,456,
4,14,396,468,
4,15,408,480,
4,16,420,492,
4,17,432,504,
4,18,444,516,
4,19,456,528,
4,20,468,540,
4,21,480,552,
4,22,492,564,
4,23,504,576,
4,24,516,588,
4,25,528,600,
4,26,540,612,
4,27,552,624,
4,28,564,636,
4,29,576,648,
4,30,588,660,
4,31,600,672,
4,32,612,684,
4,33,624,696,
4,34,636,708,
4,35,648,720,
4,36,660,732,
4,37,672,744,
4,38,684,756,
4,39,696,768,
4,40,708,780,
4,41,720,792,
4,42,732,804,
4,43,744,816,
4,44,756,828,
4,45,768,840,
4,46,780,852,
4,47,792,864,
4,48,804,876,
4,49,816,888,
4,50,828,900,
4,51,840,912,
4,52,852,924,
4,53,864,936,
4,54,876,948,
4,55,888,960,
4,56,900,972,
4,57,912,984,
4,58,924,996,
4,59,936,1008,
4,60,948,1020,
4,61,960,1032,
4,62,972,1044,
4,63,984,1056,
4,64,996,1068,
4,65,1008,1080,
4,66,1020,1092,
4,67,1032,1104,
4,68,1044,1116,
4,69,1056,1128,
4,70,1068,1140,
4,71,1080,1152,
4,72,1092,1164,
4,73,1104,1176,
4,74,1116,1188,
4,75,1128,1200,
4,76,1140,1212,
4,77,1155,1227,
4,78,1170,1242,
4,79,1185,1257,
4,80,1200,1272,
4,81,1215,1287,
4,82,1230,1302,
4,83,1245,1317,
4,84,1260,1332,
4,85,1275,1347,
