Departure Index (c),Time of departure (2400),Arrival Time,Rush
1,4:00,5:13,
2,4:12,5:25,
3,4:24,5:37,
4,4:36,5:49,
5,4:48,6:01,
6,5:00,6:13,
7,5:12,6:25,
8,5:24,6:37,
9,5:36,6:49,
10,5:48,7:01,
11,6:00,7:13,
12,6:12,7:25,
13,6:17,7:30,1
14,6:24,7:37,
15,6:36,7:49,
16,6:48,8:01,
17,7:00,8:13,
18,7:12,8:25,
19,7:17,8:30,1
20,7:24,8:37,
21,7:36,8:49,
22,7:48,9:01,
23,8:00,9:13,
24,8:12,9:25,
25,8:17,9:30,1
26,8:24,9:37,
27,8:36,9:49,
28,8:48,10:01,
29,9:00,10:13,
30,9:12,10:25,
31,9:24,10:37,
32,9:36,10:49,
33,9:48,11:01,
34,10:00,11:13,
35,10:12,11:25,
36,10:24,11:37,
37,10:36,11:49,
38,10:48,12:01,
39,11:00,12:13,
40,11:12,12:25,
41,11:24,12:37,
42,11:36,12:49,
43,11:48,13:01,
44,12:00,13:13,
45,12:12,13:25,
46,12:24,13:37,
47,12:36,13:49,
48,12:48,14:01,
49,13:00,14:13,
50,13:12,14:25,
51,13:24,14:37,
52,13:36,14:49,
53,13:48,15:01,
54,14:00,15:13,
55,14:12,15:25,
56,14:24,15:37,
57,14:36,15:49,
58,14:48,16:01,
59,15:00,16:13,
60,15:12,16:25,
61,15:24,16:37,
62,15:36,16:49,
63,15:48,17:01,
64,16:00,17:13,
65,16:12,17:25,
66,16:24,17:37,
67,16:36,17:49,
68,16:48,18:01,
69,17:00,18:13,
70,17:12,18:25,
71,17:24,18:37,
72,17:36,18:49,
73,17:48,19:01,
74,18:00,19:13,
75,18:12,19:25,
76,18:24,19:37,
77,18:36,19:49,
78,18:48,20:01,
