Departure Index (c),Time of departure (2400),Arrival Time,
1,4:00,5:13,
2,4:12,5:25,
3,4:24,5:37,
4,4:36,5:49,
5,4:48,6:01,
6,5:00,6:13,
7,5:12,6:25,
8,5:24,6:37,
9,5:36,6:49,
10,5:48,7:01,
11,6:00,7:13,
12,6:12,7:25,
13,6:24,7:37,
14,6:36,7:49,
15,6:48,8:01,
16,7:00,8:13,
17,7:12,8:25,
18,7:24,8:37,
19,7:36,8:49,
20,7:48,9:01,
21,8:00,9:13,
22,8:12,9:25,
23,8:24,9:37,
24,8:36,9:49,
25,8:48,10:01,
26,9:00,10:13,
27,9:12,10:25,
28,9:24,10:37,
29,9:36,10:49,
30,9:48,11:01,
31,10:00,11:13,
32,10:12,11:25,
33,10:24,11:37,
34,10:36,11:49,
35,10:48,12:01,
36,11:00,12:13,
37,11:12,12:25,
38,11:24,12:37,
39,11:36,12:49,
40,11:48,13:01,
41,12:00,13:13,
42,12:12,13:25,
43,12:24,13:37,
44,12:36,13:49,
45,12:48,14:01,
46,13:00,14:13,
47,13:12,14:25,
48,13:24,14:37,
49,13:36,14:49,
50,13:48,15:01,
51,14:00,15:13,
52,14:12,15:25,
53,14:24,15:37,
54,14:36,15:49,
55,14:48,16:01,
56,15:00,16:13,
57,15:07,16:20,1
58,15:12,16:25,
59,15:24,16:37,
60,15:27,16:40,1
61,15:36,16:49,
62,15:47,17:00,1
63,15:48,17:01,
64,15:55,17:08,1
65,16:00,17:13,
66,16:03,17:16,1
67,16:11,17:24,1
68,16:12,17:25,
69,16:19,17:32,1
70,16:24,17:37,
71,16:27,17:40,1
72,16:35,17:48,1
73,16:36,17:49,
74,16:43,17:56,1
75,16:48,18:01,
76,17:00,18:13,
77,17:07,18:20,1
78,17:12,18:25,
79,17:24,18:37,
80,17:27,18:40,1
81,17:36,18:49,
82,17:47,19:00,1
83,17:48,19:01,
84,18:00,19:13,
85,18:12,19:25,
86,18:24,19:37,
87,18:36,19:49,
88,18:48,20:01,
89,19:00,20:13,
90,19:15,20:28,
91,19:30,20:43,
92,19:45,20:58,
93,20:00,21:13,
94,20:15,21:28,
95,20:30,21:43,
96,20:45,21:58,
97,21:00,22:13,
98,21:15,22:28,
99,21:30,22:43,
100,21:45,22:58,
101,22:00,23:13,
102,22:15,23:28,
103,22:30,23:43,
104,22:45,23:58,
105,23:00,0:13,
106,23:15,0:28,
107,23:30,0:43,
108,23:45,0:58,
109,0:00,1:13,
