Departure Index (c),Time of departure (2400),Arrival Time
1,4:00,5:12
2,4:12,5:24
3,4:24,5:36
4,4:36,5:48
5,4:48,6:00
6,5:00,6:12
7,5:12,6:24
8,5:24,6:36
9,5:36,6:48
10,5:48,7:00
11,6:00,7:12
12,6:12,7:24
13,6:24,7:36
14,6:36,7:48
15,6:48,8:00
16,7:00,8:12
17,7:12,8:24
18,7:24,8:36
19,7:36,8:48
20,7:48,9:00
21,8:00,9:12
22,8:12,9:24
23,8:24,9:36
24,8:36,9:48
25,8:48,10:00
26,9:00,10:12
27,9:12,10:24
28,9:24,10:36
29,9:36,10:48
30,9:48,11:00
31,10:00,11:12
32,10:12,11:24
33,10:24,11:36
34,10:36,11:48
35,10:48,12:00
36,11:00,12:12
37,11:12,12:24
38,11:24,12:36
39,11:36,12:48
40,11:48,13:00
41,12:00,13:12
42,12:12,13:24
43,12:24,13:36
44,12:36,13:48
45,12:48,14:00
46,13:00,14:12
47,13:12,14:24
48,13:24,14:36
49,13:36,14:48
50,13:48,15:00
51,14:00,15:12
52,14:12,15:24
53,14:24,15:36
54,14:36,15:48
55,14:48,16:00
56,15:00,16:12
57,15:12,16:24
58,15:24,16:36
59,15:36,16:48
60,15:48,17:00
61,16:00,17:12
62,16:12,17:24
63,16:24,17:36
64,16:36,17:48
65,16:48,18:00
66,17:00,18:12
67,17:12,18:24
68,17:24,18:36
69,17:36,18:48
70,17:48,19:00
71,18:00,19:12
72,18:12,19:24
73,18:24,19:36
74,18:36,19:48
75,18:48,20:00
76,19:00,20:12
77,19:15,20:27
78,19:30,20:42
79,19:45,20:57
80,20:00,21:12
81,20:15,21:27
82,20:30,21:42
83,20:45,21:57
84,21:00,22:12
85,21:15,22:27
86,21:30,22:42
87,21:45,22:57
88,22:00,23:12
89,22:15,23:27
90,22:30,23:42
91,22:45,23:57
92,23:00,0:12
93,23:15,0:27
94,23:30,0:42
95,23:45,0:57
96,0:00,1:12
