Departure Index (c),Time of departure (2400),Arrival Time,Rush
1,4:00,5:13,
2,4:12,5:25,
3,4:24,5:37,
4,4:36,5:49,
5,4:48,6:01,
6,5:00,6:13,
7,5:12,6:25,
8,5:24,6:37,
9,5:36,6:49,
10,5:48,7:01,
11,6:00,7:13,
12,6:12,7:25,
13,6:24,7:37,
14,6:36,7:49,
15,6:48,8:01,
16,7:00,8:13,
17,7:12,8:25,
18,7:24,8:37,
19,7:36,8:49,
20,7:48,9:01,
21,8:00,9:13,
22,8:12,9:25,
23,8:24,9:37,
24,8:36,9:49,
25,8:48,10:01,
26,9:00,10:13,
27,9:12,10:25,
28,9:24,10:37,
29,9:36,10:49,
30,9:48,11:01,
31,10:00,11:13,
32,10:12,11:25,
33,10:24,11:37,
34,10:36,11:49,
35,10:48,12:01,
36,11:00,12:13,
37,11:12,12:25,
38,11:24,12:37,
39,11:36,12:49,
40,11:48,13:01,
41,12:00,13:13,
42,12:12,13:25,
43,12:24,13:37,
44,12:36,13:49,
45,12:48,14:01,
46,13:00,14:13,
47,13:12,14:25,
48,13:24,14:37,
49,13:36,14:49,
50,13:48,15:01,
51,14:00,15:13,
52,14:12,15:25,
53,14:24,15:37,
54,14:36,15:49,
55,14:48,16:01,
56,15:00,16:13,
57,15:12,16:25,
58,15:17,16:30,1
59,15:24,16:37,
60,15:36,16:49,
61,15:48,17:01,
62,16:00,17:13,
63,16:12,17:25,
64,16:17,17:30,1
65,16:24,17:37,
66,16:36,17:49,
67,16:48,18:01,
68,17:00,18:13,
69,17:12,18:25,
70,17:17,18:30,1
71,17:24,18:37,
72,17:36,18:49,
73,17:48,19:01,
74,18:00,19:13,
75,18:12,19:25,
76,18:24,19:37,
77,18:36,19:49,
78,18:48,20:01,
