Departure Index (c),Time of departure (2400),Arrival Time,Rush
1,4:00,5:13,
2,4:12,5:25,
3,4:24,5:37,
4,4:36,5:49,
5,4:48,6:01,
6,5:00,6:13,
7,5:12,6:25,
8,5:24,6:37,
9,5:36,6:49,
10,5:48,7:01,
11,6:00,7:13,
12,6:07,7:20,1
13,6:12,7:25,
14,6:24,7:37,
15,6:27,7:40,1
16,6:36,7:49,
17,6:47,8:00,1
18,6:48,8:01,
19,6:55,8:08,1
20,7:00,8:13,
21,7:03,8:16,1
22,7:11,8:24,1
23,7:12,8:25,
24,7:19,8:32,1
25,7:24,8:37,
26,7:27,8:40,1
27,7:35,8:48,1
28,7:36,8:49,
29,7:43,8:56,1
30,7:48,9:01,
31,8:00,9:13,
32,8:07,9:20,1
33,8:12,9:25,
34,8:24,9:37,
35,8:27,9:40,1
36,8:36,9:49,
37,8:47,10:00,1
38,8:48,10:01,
39,9:00,10:13,
40,9:12,10:25,
41,9:24,10:37,
42,9:36,10:49,
43,9:48,11:01,
44,10:00,11:13,
45,10:12,11:25,
46,10:24,11:37,
47,10:36,11:49,
48,10:48,12:01,
49,11:00,12:13,
50,11:12,12:25,
51,11:24,12:37,
52,11:36,12:49,
53,11:48,13:01,
54,12:00,13:13,
55,12:12,13:25,
56,12:24,13:37,
57,12:36,13:49,
58,12:48,14:01,
59,13:00,14:13,
60,13:12,14:25,
61,13:24,14:37,
62,13:36,14:49,
63,13:48,15:01,
64,14:00,15:13,
65,14:12,15:25,
66,14:24,15:37,
67,14:36,15:49,
68,14:48,16:01,
69,15:00,16:13,
70,15:12,16:25,
71,15:24,16:37,
72,15:36,16:49,
73,15:48,17:01,
74,16:00,17:13,
75,16:12,17:25,
76,16:24,17:37,
77,16:36,17:49,
78,16:48,18:01,
79,17:00,18:13,
80,17:12,18:25,
81,17:24,18:37,
82,17:36,18:49,
83,17:48,19:01,
84,18:00,19:13,
85,18:12,19:25,
86,18:24,19:37,
87,18:36,19:49,
88,18:48,20:01,
89,19:00,20:13,
90,19:15,20:28,
91,19:30,20:43,
92,19:45,20:58,
93,20:00,21:13,
94,20:15,21:28,
95,20:30,21:43,
96,20:45,21:58,
97,21:00,22:13,
98,21:15,22:28,
99,21:30,22:43,
100,21:45,22:58,
101,22:00,23:13,
102,22:15,23:28,
103,22:30,23:43,
104,22:45,23:58,
105,23:00,0:13,
106,23:15,0:28,
107,23:30,0:43,
108,23:45,0:58,
109,0:00,1:13,
