,zi,Fac,a,c
0,240,1,1,1
1,240,0.8,1,2
2,240,0.6,1,3
3,240,0.4,1,4
4,240,0.2,1,5
850,240,1,10,1
851,240,0.8,10,2
852,240,0.6,10,3
853,240,0.4,10,4
854,240,0.2,10,5
78,240,1,2,1
79,240,0.8,2,2
80,240,0.6,2,3
81,240,0.4,2,4
82,240,0.2,2,5
156,240,1,3,1
157,240,0.8,3,2
158,240,0.6,3,3
159,240,0.4,3,4
160,240,0.2,3,5
252,240,1,4,1
253,240,0.8,4,2
254,240,0.6,4,3
255,240,0.4,4,4
256,240,0.2,4,5
348,240,1,5,1
349,240,0.8,5,2
350,240,0.6,5,3
351,240,0.4,5,4
352,240,0.2,5,5
447,240,1,6,1
448,240,0.8,6,2
449,240,0.6,6,3
450,240,0.4,6,4
451,240,0.2,6,5
546,240,1,7,1
547,240,0.8,7,2
548,240,0.6,7,3
549,240,0.4,7,4
550,240,0.2,7,5
655,240,1,8,1
656,240,0.8,8,2
657,240,0.6,8,3
658,240,0.4,8,4
659,240,0.2,8,5
764,240,1,9,1
765,240,0.8,9,2
766,240,0.6,9,3
767,240,0.4,9,4
768,240,0.2,9,5
9,300,0.2,1,10
4,300,1,1,5
5,300,1,1,6
6,300,0.8,1,7
7,300,0.6,1,8
8,300,0.4,1,9
859,300,0.2,10,10
854,300,1,10,5
855,300,1,10,6
856,300,0.8,10,7
857,300,0.6,10,8
858,300,0.4,10,9
87,300,0.2,2,10
82,300,1,2,5
83,300,1,2,6
84,300,0.8,2,7
85,300,0.6,2,8
86,300,0.4,2,9
165,300,0.2,3,10
160,300,1,3,5
161,300,1,3,6
162,300,0.8,3,7
163,300,0.6,3,8
164,300,0.4,3,9
261,300,0.2,4,10
256,300,1,4,5
257,300,1,4,6
258,300,0.8,4,7
259,300,0.6,4,8
260,300,0.4,4,9
357,300,0.2,5,10
352,300,1,5,5
353,300,1,5,6
354,300,0.8,5,7
355,300,0.6,5,8
356,300,0.4,5,9
456,300,0.2,6,10
451,300,1,6,5
452,300,1,6,6
453,300,0.8,6,7
454,300,0.6,6,8
455,300,0.4,6,9
555,300,0.2,7,10
550,300,1,7,5
551,300,1,7,6
552,300,0.8,7,7
553,300,0.6,7,8
554,300,0.4,7,9
664,300,0.2,8,10
659,300,1,8,5
660,300,1,8,6
661,300,0.8,8,7
662,300,0.6,8,8
663,300,0.4,8,9
773,300,0.2,9,10
768,300,1,9,5
769,300,1,9,6
770,300,0.8,9,7
771,300,0.6,9,8
772,300,0.4,9,9
9,360,1,1,10
10,360,1,1,11
11,360,0.8,1,12
12,360,0.716666667,1,13
13,360,0.6,1,14
14,360,0.4,1,15
15,360,0.2,1,16
4,360,0.016666667,1,5
859,360,1,10,10
860,360,1,10,11
861,360,0.8,10,12
862,360,0.75,10,13
863,360,0.6,10,14
864,360,0.4,10,15
865,360,0.2,10,16
854,360,0.05,10,5
87,360,1,2,10
88,360,1,2,11
89,360,0.8,2,12
90,360,0.6,2,13
91,360,0.4,2,14
92,360,0.2,2,15
82,360,0.016666667,2,5
165,360,1,3,10
166,360,1,3,11
167,360,0.8,3,12
168,360,0.6,3,13
169,360,0.4,3,14
170,360,0.2,3,15
160,360,0,3,5
261,360,1,4,10
262,360,1,4,11
263,360,0.8,4,12
264,360,0.6,4,13
265,360,0.4,4,14
266,360,0.2,4,15
256,360,0,4,5
357,360,1,5,10
358,360,1,5,11
359,360,0.8,5,12
360,360,0.6,5,13
361,360,0.4,5,14
362,360,0.2,5,15
352,360,0,5,5
456,360,1,6,10
457,360,1,6,11
458,360,0.8,6,12
459,360,0.7,6,13
460,360,0.6,6,14
461,360,0.4,6,15
462,360,0.2,6,16
451,360,0,6,5
555,360,1,7,10
556,360,1,7,11
557,360,0.883333333,7,12
558,360,0.8,7,13
559,360,0.6,7,14
560,360,0.55,7,15
561,360,0.4,7,16
562,360,0.216666667,7,17
563,360,0.2,7,18
564,360,0.083333333,7,19
550,360,0.016666667,7,5
664,360,1,8,10
665,360,1,8,11
666,360,0.8,8,12
667,360,0.6,8,13
668,360,0.4,8,14
669,360,0.2,8,15
659,360,0.016666667,8,5
773,360,1,9,10
774,360,1,9,11
775,360,0.8,9,12
776,360,0.6,9,13
777,360,0.4,9,14
778,360,0.2,9,15
768,360,0.05,9,5
9,420,0.016666667,1,10
15,420,1,1,16
16,420,1,1,17
17,420,0.8,1,18
18,420,0.716666667,1,19
19,420,0.6,1,20
20,420,0.4,1,21
21,420,0.2,1,22
859,420,0.05,10,10
865,420,1,10,16
866,420,1,10,17
867,420,0.8,10,18
868,420,0.75,10,19
869,420,0.6,10,20
870,420,0.4,10,21
871,420,0.2,10,22
87,420,0.016666667,2,10
92,420,1,2,15
93,420,1,2,16
94,420,0.8,2,17
95,420,0.6,2,18
96,420,0.4,2,19
97,420,0.2,2,20
165,420,0,3,10
170,420,1,3,15
171,420,1,3,16
172,420,0.8,3,17
173,420,0.6,3,18
174,420,0.4,3,19
175,420,0.2,3,20
261,420,0,4,10
266,420,1,4,15
267,420,1,4,16
268,420,0.8,4,17
269,420,0.6,4,18
270,420,0.4,4,19
271,420,0.2,4,20
