,hour,no. of passengers,a
0,1440,133.5,1
1,1440,167.6166667,2
2,1440,48.3,3
3,1440,40.66666667,4
4,1440,141.7166667,5
5,1440,98.5,6
6,1440,231.2,7
7,1440,224.3333333,8
8,1440,146.75,9
9,1440,98.1,10
10,1500,18.78333333,1
11,1500,16.83333333,2
12,1500,10.3,3
13,1500,5.466666667,4
14,1500,15.7,5
15,1500,13.91666667,6
16,1500,31.98333333,7
17,1500,35.38333333,8
18,1500,15.03333333,9
19,1500,11.71666667,10
20,1560,0,1
21,1560,0,2
22,1560,0.06666666667,3
23,1560,0.06666666667,4
24,1560,0.06666666667,5
25,1560,0.06666666667,6
26,1560,0,7
27,1560,0,8
28,1560,0.06666666667,9
29,1560,0.06666666667,10
30,1620,0.65,1
31,1620,0.6,2
32,1620,0.3,3
33,1620,0.3,4
34,1620,0.2,5
35,1620,0.2,6
36,1620,1.25,7
37,1620,1.7,8
38,1620,0.5,9
39,1620,0.5,10
40,240,107.4333333,1
41,240,68.41666667,2
42,240,17.86666667,3
43,240,26.2,4
44,240,45.85,5
45,240,78.86666667,6
46,240,244.8333333,7
47,240,86.1,8
48,240,47.46666667,9
49,240,89.16666667,10
50,300,537.0833333,1
51,300,322.9833333,2
52,300,162.2666667,3
53,300,139.5666667,4
54,300,196.1333333,5
55,300,748.0333333,6
56,300,1813.083333,7
57,300,480.8166667,8
58,300,224.9666667,9
59,300,548.0333333,10
60,360,1556.533333,1
61,360,1006.533333,2
62,360,508.5,3
63,360,468.3666667,4
64,360,533.8,5
65,360,1592.866667,6
66,360,4337.533333,7
67,360,1325.916667,8
68,360,604.5833333,9
69,360,1355.766667,10
70,420,3715.75,1
71,420,2819.233333,2
72,420,1260.866667,3
73,420,1207,4
74,420,1384.116667,5
75,420,3590.283333,6
76,420,9442.05,7
77,420,3208.15,8
78,420,1537.316667,9
79,420,3023.583333,10
80,480,6095.05,1
81,480,5125.616667,2
82,480,1543.9,3
83,480,1590.333333,4
84,480,2383.3,5
85,480,5447.45,6
86,480,11760.75,7
87,480,5309.3,8
88,480,2516.266667,9
89,480,4694.95,10
90,540,4960.283333,1
91,540,3980.366667,2
92,540,1085.966667,3
93,540,1168.4,4
94,540,1911.25,5
95,540,4630.183333,6
96,540,8196.183333,7
97,540,3961.9,8
98,540,2003.266667,9
99,540,4422.083333,10
100,600,2218.55,1
101,600,1727.816667,2
102,600,620.5,3
103,600,635.3333333,4
104,600,922.0833333,5
105,600,1887.7,6
106,600,3681.15,7
107,600,1803.65,8
108,600,978.5833333,9
109,600,1835.1,10
110,660,1495.55,1
111,660,1230.1,2
112,660,518.5666667,3
113,660,507.3333333,4
114,660,733.65,5
115,660,1119.883333,6
116,660,2258.05,7
117,660,1328.95,8
118,660,794.1,9
119,660,1087.483333,10
120,720,1456.183333,1
121,720,1251.6,2
122,720,616.7666667,3
123,720,581.6666667,4
124,720,805.15,5
125,720,1004.366667,6
126,720,1963.283333,7
127,720,1331.35,8
128,720,871.1666667,9
129,720,1026.766667,10
130,780,1422.616667,1
131,780,1297.116667,2
132,780,619.8,3
133,780,593.6333333,4
134,780,867.7666667,5
135,780,995.6166667,6
136,780,1885.816667,7
137,780,1399.5,8
138,780,944.4,9
139,780,1021.216667,10
140,840,1537.416667,1
141,840,1478.833333,2
142,840,645.8666667,3
143,840,624.3,4
144,840,1068.483333,5
145,840,1062.916667,6
146,840,1989.816667,7
147,840,1662.1,8
148,840,1130.583333,9
149,840,1108.116667,10
150,900,1930.4,1
151,900,2016.433333,2
152,900,903.7333333,3
153,900,854.6666667,4
154,900,1452.55,5
155,900,1266.833333,6
156,900,2470.9,7
157,900,2358.016667,8
158,900,1544.233333,9
159,900,1345.533333,10
160,960,2729.933333,1
161,960,2996.983333,2
162,960,1248.933333,3
163,960,1159.6,4
164,960,2217.85,5
165,960,1693.55,6
166,960,3416.833333,7
167,960,3711.266667,8
168,960,2347.733333,9
169,960,1816.25,10
170,1020,4368.383333,1
171,1020,4774.9,2
172,1020,1590.7,3
173,1020,1420.566667,4
174,1020,3433.966667,5
175,1020,2633.2,6
176,1020,5070.783333,7
177,1020,5863.95,8
178,1020,3649.116667,9
179,1020,2631.2,10
180,1080,3817.75,1
181,1080,4352.3,2
182,1080,1211.2,3
183,1080,1108.233333,4
184,1080,3099.933333,5
185,1080,2208.05,6
186,1080,4460.45,7
187,1080,5303.6,8
188,1080,3401.95,9
189,1080,2202.85,10
190,1140,1951.8,1
191,1140,2240.416667,2
192,1140,629.0333333,3
193,1140,580.4333333,4
194,1140,1552.783333,5
195,1140,1172.466667,6
196,1140,2410.4,7
197,1140,2744.716667,8
198,1140,1744.75,9
199,1140,1158.166667,10
200,1200,1074.05,1
201,1200,1292.85,2
202,1200,389.6333333,3
203,1200,369.8,4
204,1200,873.6333333,5
205,1200,656.3666667,6
206,1200,1350.45,7
207,1200,1479.533333,8
208,1200,928.4333333,9
209,1200,670.0666667,10
210,1260,896.25,1
211,1260,1019,2
212,1260,363.9,3
213,1260,328.4666667,4
214,1260,684.4666667,5
215,1260,542.4166667,6
216,1260,1118.85,7
217,1260,1151.2,8
218,1260,744.3166667,9
219,1260,574.0166667,10
220,1320,676.6,1
221,1320,712.1,2
222,1320,297.1333333,3
223,1320,274,4
224,1320,548.05,5
225,1320,523.4333333,6
226,1320,884.4,7
227,1320,847.8833333,8
228,1320,595.5,9
229,1320,546.6333333,10
230,1380,424.8666667,1
231,1380,490.5166667,2
232,1380,163.2333333,3
233,1380,140.5666667,4
234,1380,364.6,5
235,1380,311.1666667,6
236,1380,579.6666667,7
237,1380,570.3833333,8
238,1380,406.9833333,9
239,1380,323.3666667,10
