,Travel Segment (a),Departure Index (c),Time of Departure (alpha),Time of Arrival (beta)
136,2,59,924,997
137,2,60,936,1009
138,2,61,948,1021
139,2,62,960,1033
140,2,63,972,1045
141,2,64,977,1050
142,2,65,984,1057
143,2,66,996,1069
144,2,67,1008,1081
145,2,68,1020,1093
146,2,69,1032,1105
147,2,70,1037,1110
148,2,71,1044,1117
149,2,72,1056,1129
150,2,73,1068,1141
151,2,74,1080,1153
152,2,75,1092,1165
309,4,58,924,996
310,4,59,936,1008
311,4,60,948,1020
312,4,61,960,1032
313,4,62,972,1044
314,4,63,984,1056
315,4,64,996,1068
316,4,65,1008,1080
317,4,66,1020,1092
318,4,67,1032,1104
319,4,68,1044,1116
320,4,69,1056,1128
321,4,70,1068,1140
322,4,71,1080,1152
323,4,72,1092,1164
324,4,73,1104,1176
406,5,59,924,996
407,5,60,936,1008
408,5,61,948,1020
409,5,62,960,1032
410,5,63,972,1044
411,5,64,978,1050
412,5,65,984,1056
413,5,66,996,1068
414,5,67,1008,1080
415,5,68,1020,1092
416,5,69,1032,1104
417,5,70,1038,1110
418,5,71,1044,1116
419,5,72,1056,1128
420,5,73,1068,1140
421,5,74,1080,1152
422,5,75,1092,1164
423,5,76,1104,1176
821,9,58,924,999
822,9,59,930,1005
823,9,60,936,1011
824,9,61,948,1023
825,9,62,960,1035
826,9,63,972,1047
827,9,64,984,1059
828,9,65,990,1065
829,9,66,996,1071
830,9,67,1008,1083
831,9,68,1020,1095
832,9,69,1032,1107
833,9,70,1044,1119
834,9,71,1050,1125
835,9,72,1056,1131
836,9,73,1068,1143
837,9,74,1080,1155
838,9,75,1092,1167
